id,EC,Effort,GPS,Time,,"Latitude(N,84)",,,"Longitude(E,84)",,,Speed,Brg,Weather,Glare,Sightability,Visibility,deep(m),Beaufort,Sal.(‰),T(℃),pH,Turbidity(NTU),Net,Recorder,Cargo(mobile),Cargo(station),Fishing Boat(mobile),Fishing Boat(station),Comments
60,LP,OFF,743,05,43,24,05,128,120,25,195,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,JL,NA,NA,NA,NA,NA
61,R,ON,744,06,10,24,05,070,120,22,043,7.0 ,253,PC,0,0,1.2,9.2 ,1,32.2 ,28.5 ,8.14 ,4.91 ,0,XN,0,0,0,1,NA
62,R,ON,745,06,20,24,04,000,120,21,503,7.5 ,211,PC,0,0,1.2,8.7 ,1,32.8 ,28.6 ,8.16 ,6.90 ,0,XN,0,0,0,0,NA
63,R,ON,746,06,32,24,03,000,120,20,492,7.3 ,211,Cr,0,0,1.2,7.2 ,1,32.8 ,28.7 ,8.16 ,3.95 ,0,XN,0,0,0,0,NA
64,R,ON,747,06,41,24,01,997,120,19,817,7.0 ,210,Cr,1,1,1.5,4.3 ,1,30.2 ,28.6 ,8.13 ,7.11 ,0,KP,0,0,0,0,NA
65,R,ON,748,06,52,24,00,998,120,19,194,6.9 ,205,Cr,1,1,1.5,3.7 ,1,30.0 ,28.6 ,8.12 ,6.80 ,0,KP,0,0,0,0,NA
66,R,ON,749,07,02,24,00,006,120,18,498,6.9 ,211,Cr,1,1,1.5,9.0 ,1,30.6 ,28.4 ,8.12 ,5.79 ,0,JL,0,0,0,0,NA
67,R,ON,750,07,12,23,59,000,120,17,856,7.0 ,209,Cr,1,1,1.5,11.9 ,1,32.1 ,28.5 ,8.13 ,5.52 ,0,JL,0,0,0,0,NA
68,R,ON,751,07,22,23,58,004,120,17,242,7.5 ,210,Cr,2,1,1.5,11.7 ,1,32.7 ,28.6 ,8.11 ,15.0 ,0,MO,0,0,0,0,有水氣
69,R,ON,752,07,31,23,57,007,120,16,611,7.5 ,211,Cr,2,1,1.5,8.4 ,1,32.9 ,28.6 ,8.12 ,12.4 ,0,MO,0,0,0,2,NA
70,R,ON,753,07,41,23,55,989,120,15,882,6.3 ,205,Cr,1,1,1.5,9.9 ,1,32.1 ,28.6 ,8.13 ,15.4 ,0,XN,0,0,0,0,NA
71,R,ON,754,07,50,23,55,000,120,15,260,7.7 ,213,Cr,1,1,1.5,7.7 ,1,31.7 ,28.6 ,8.13 ,8.52 ,0,XN,0,0,0,0,NA
72,R,ON,755,07,59,23,54,004,120,14,569,8.0 ,211,Cr,1,1,1.5,6.4 ,1,32.4 ,28.9 ,8.13 ,12.0 ,0,KP,0,0,0,0,NA
73,R,ON,756,08,12,23,53,000,120,13,007,8.1 ,232,Cr,1,1,1.5,7.2 ,1,19.6 ,27.9 ,8.11 ,14.1 ,0,KP,0,0,0,0,NA
74,S,OFF,757,08,18,23,52,295,120,12,491,NA,NA,Cr,1,1,1.5 ,6.2 ,1,33.2 ,28.9 ,8.14 ,5.51 ,0,JL,0,0,0,0,首220 豚240
75,LS,OFF,765,08,55,23,53,045,120,11,997,NA,NA,NA,NA,NA,NA,15.7 ,1,33.1 ,29.4 ,8.14 ,6.02 ,0,JL,NA,NA,NA,NA,NA
76,S,OFF,766,09,02,23,53,355,120,12,990,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,JL,NA,NA,NA,NA,太遠怕潮汐來不及
77,BT,ON,767,09,07,23,53,541,120,13,599,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,JL,NA,NA,NA,NA,NA
78,R,ON,768,09,15,23,54,002,120,14,611,7.7 ,057,Cr,1,1,1.5 ,5.3 ,1,29.5 ,32.8 ,8.12 ,9.21 ,0,JL,0,0,0,0,NA
79,R,ON,769,09,24,23,55,004,120,15,253,8.0 ,037,Cr,1,1,1.5 ,7.7 ,1,32.0 ,29.2 ,8.11 ,7.76 ,0,MO,0,0,0,0,NA
80,R,ON,770,09,32,23,56,002,120,15,887,8.2 ,033,Cr,1,1,1.5 ,9.9 ,1,31.9 ,29.2 ,8.09 ,14.1 ,4,MO,0,0,0,1,NA
81,R,ON,771,09,41,23,57,002,120,16,561,7.9 ,031,Cr,1,0,1.5 ,9.7 ,1,32.4 ,29.3 ,8.10 ,9.92 ,3,XN,0,0,1,1,水菓一號調查船進行拖網作業
82,R,ON,772,09,50,23,58,001,120,17,247,8.1 ,034,Cr,1,0,1.5 ,11.7 ,1,31.6 ,29.3 ,8.09 ,5.75 ,0,XN,0,0,0,0,NA
