id,EC,Effort,GPS,Time,V6,"Latitude(N,84)",V8,V9,"Longitude(E,84)",V11,V12,Speed,Brg,Weather,Glare,Sightability,Visibility,deep(m),Beaufort,Sal.(‰),T(℃),pH,Turbidity(NTU),Net,Recorder,Cargo(mobile),Cargo(station),Fishing Boat(mobile),Fishing Boat(station),Comments
1,LP,OFF,50,7,16,24,5,149,120,25,193,,,,,,,,,,,,,0,YI,,,,,
2,BE/R,ON,51,7,43,24,5,83,120,22,48,7.3,253,O,0,0,1.2,9.6,1,33.1,30.1,8.25,6.6,1,JL,0,0,0,1,
3,R,ON,52,7,53,24,4,0,120,21,494,7.7,209,PC,0,1,1.2,9.1,1,34,30.1,8.27,4.26,0,JL,0,0,0,0,有霧氣（船長說空氣污染）
4,R,ON,53,8,5,24,2,998,120,20,489,7.3,226,PC,0,1,1.2,7.5,1,33.9,30.1,8.25,7.93,2,JL,0,0,0,1,
5,R,ON,54,8,14,24,2,0,120,19,784,7.4,218,O,0,0,1.2,5.6,1,33.8,30.1,8.25,6.05,0,XN,0,0,0,0,水氣
6,R,ON,55,8,24,24,1,1,120,19,199,7.3,208,O,0,0,1.2,3.7,1,33.6,30.1,8.24,4.65,0,XN,0,0,1,0,換電池
7,R,ON,56,8,35,23,59,999,120,18,487,6.3,212,O,0,0,1.2,9.2,1,28,30,8.22,7.37,0,YI,0,0,0,0,水氣重
8,R,ON,57,8,45,23,58,999,120,17,841,6.9,218,MC,0,0,1.2,12.3,1,32.7,30.2,8.23,4.46,4,YI,0,0,0,1,
9,R,ON,58,8,54,23,58,0,120,17,214,7.4,211,MC,0,0,1.2,12.1,1,33.7,30,8.22,4.71,0,CW,0,0,0,0,
10,R,ON,59,9,4,23,56,999,120,16,568,7.5,214,MC,0,0,1.2,10.7,1,31.7,30,8.23,4.25,1,CW,0,0,0,1,
11,R,ON,60,9,14,23,56,0,120,15,899,7.6,211,MC,0,0,1.2,10.1,1,31.7,30.3,8.22,5.8,4,HH,0,0,0,0,
12,R,ON,61,9,23,23,54,995,120,15,219,7.8,211,MC,0,0,1.2,18.3,1,31.4,30.4,8.22,6.64,1,HH,0,0,0,0,
13,R,ON,62,9,31,23,53,998,120,14,590,8.1,213,MC,0,0,1.3,6.2,1,33.9,30.2,8.22,4.72,0,JL,0,0,0,0,
14,R,ON,63,9,45,23,52,998,120,13,3,8.1,234,MC,0,0,1.3,7.5,1,33.9,30.4,8.21,4.73,0,JL,0,0,0,0,
15,S,ON,64,9,47,23,52,784,120,12,813,,,,,,,7.4,1,34.2,30.3,8.21,4.05,0,CW,0,0,0,0,船230 豚135
16,LS/BT,OFF,72,10,22,23,51,976,120,12,462,,,,,,,4.2,1,34.1,30.7,8.22,3.78,0,CW,0,0,0,0,
17,R,ON,73,10,34,23,53,0,120,13,17,6.9,42,MC,0,0,1.3,7.5,1,34.1,30.6,8.23,3.45,0,XN,0,0,0,0,
18,R,ON,74,10,49,23,53,999,120,14,599,7.2,58,Cd,0,0,1.3,6.1,1,33.5,30.7,8.22,4.75,0,XN,0,0,0,0,
19,R,ON,75,10,59,23,55,1,120,15,250,7.5,32,Cd,0,0,1.3,7.9,1,33.8,30.6,8.22,3.57,0,YI,0,0,0,0,
20,R,ON,76,11,8,23,56,1,120,15,898,7.6,28,Cd,0,0,1.5,10.1,1,33.5,30.7,8.23,3.85,1,YI,0,0,0,0,
21,R,ON,77,11,18,23,57,0,120,16,591,7.5,31,Cd,0,0,1.5,8.6,1,33.4,30.6,8.22,3.43,0,CW,0,0,0,0,
22,R,ON,78,11,27,23,58,1,120,17,241,7.6,25,Cd,0,0,1.5,12.3,1,33.4,30.5,8.23,4.5,0,CW,0,0,0,1,
23,R,ON,79,11,36,23,59,1,120,17,855,7.8,26,Cd,0,0,1.5,12.6,1,33.2,30.6,8.23,3.37,0,HH,0,0,0,0,
24,R,ON,80,11,45,24,0,2,120,18,516,8.1,34,Cd,0,0,1.5,9.1,1,33.4,30.8,8.24,2.75,0,HH,0,0,0,0,
25,R,ON,81,11,55,24,1,1,120,19,201,8.4,35,Cd,0,0,1.5,3.7,1,32.9,30.5,8.25,3.21,0,JL,0,0,0,0,
26,R,ON,82,12,4,24,2,3,120,19,787,7.4,25,Cd,0,0,1.5,5.5,1,33.1,30.7,8.25,3.06,0,JL,0,0,0,0,
27,R,ON,83,12,13,24,3,0,120,20,516,7.8,32,Cd,0,0,1.5,7.6,1,33.9,30.2,8.24,3.32,0,XN,0,0,0,0,
28,R,ON,84,12,24,24,4,1,120,21,507,7.8,50,Cd,0,0,1.5,9.2,1,33.7,30.6,8.26,2.7,0,XN,0,0,0,0,
29,R/EE,OFF,85,12,32,24,4,997,120,21,990,7.8,22,Cd,0,0,1.5,11.2,1,33.9,30.3,8.2,3.54,2,YI,0,0,0,0,
30,BP,OFF,86,13,1,24,5,87,120,25,210,,,,,,,,,,,,,,,,,,,
31,LP,OFF,751,7,35,24,5,136,120,25,190,,,,,,,,,,,,,0,JL,,,,,
32,BE/R,ON,752,8,3,24,5,33,120,22,24,6.8,217,Cd,0,0,1.5,9.9,1,32,30.3,8.19,5.39,0,CW,0,1,0,1,
33,R,ON,753,8,12,24,4,0,120,21,487,7.7,221,Cd,0,0,1.5,9.3,1,33.9,30.1,8.26,5.15,5,CW,0,0,0,2,
