id,EC,Effort,GPS,Time,V6,"Latitude(N,84)",V8,V9,"Longitude(E,84)",V11,V12,Speed,Brg,Weather,Glare,Sightability,Visibility,deep(m),Beaufort,Sal.(‰),T(℃),pH,Turbidity(NTU),Net,Recorder,Cargo(mobile),Cargo(station),Fishing Boat(mobile),Fishing Boat(station),Comments,Timing,Lat,Long
1,LP,OFF,50,07,16,24,5,149,120,25,193,,,,,,,,,,,,,0,YI,,,,,,07:16:00,24.0858166666667,120.419883333333
2,BE/R,ON,51,07,43,24,5,83,120,22,48,7.3,253,O,0,0,1.2,9.6,1,33.1,30.1,8.25,6.6,1,JL,0,0,0,1,,07:43:00,24.0971666666667,120.374666666667
3,R,ON,52,07,53,24,4,0,120,21,494,7.7,209,PC,0,1,1.2,9.1,1,34,30.1,8.27,4.26,0,JL,0,0,0,0,有霧氣（船長說空氣污染）,07:53:00,24.0666666666667,120.358233333333
4,R,ON,53,08,05,24,2,998,120,20,489,7.3,226,PC,0,1,1.2,7.5,1,33.9,30.1,8.25,7.93,2,JL,0,0,0,1,,08:05:00,24.0499666666667,120.341483333333
5,R,ON,54,08,14,24,2,0,120,19,784,7.4,218,O,0,0,1.2,5.6,1,33.8,30.1,8.25,6.05,0,XN,0,0,0,0,水氣,08:14:00,24.0333333333333,120.329733333333
6,R,ON,55,08,24,24,1,1,120,19,199,7.3,208,O,0,0,1.2,3.7,1,33.6,30.1,8.24,4.65,0,XN,0,0,1,0,換電池,08:24:00,24.0183333333333,120.319983333333
7,R,ON,56,08,35,23,59,999,120,18,487,6.3,212,O,0,0,1.2,9.2,1,28,30,8.22,7.37,0,YI,0,0,0,0,水氣重,08:35:00,23.9999833333333,120.308116666667
8,R,ON,57,08,45,23,58,999,120,17,841,6.9,218,MC,0,0,1.2,12.3,1,32.7,30.2,8.23,4.46,4,YI,0,0,0,1,,08:45:00,23.9833166666667,120.29735
9,R,ON,58,08,54,23,58,0,120,17,214,7.4,211,MC,0,0,1.2,12.1,1,33.7,30,8.22,4.71,0,CW,0,0,0,0,,08:54:00,23.9666666666667,120.2869
10,R,ON,59,09,04,23,56,999,120,16,568,7.5,214,MC,0,0,1.2,10.7,1,31.7,30,8.23,4.25,1,CW,0,0,0,1,,09:04:00,23.9499833333333,120.276133333333
11,R,ON,60,09,14,23,56,0,120,15,899,7.6,211,MC,0,0,1.2,10.1,1,31.7,30.3,8.22,5.8,4,HH,0,0,0,0,,09:14:00,23.9333333333333,120.264983333333
12,R,ON,61,09,23,23,54,995,120,15,219,7.8,211,MC,0,0,1.2,18.3,1,31.4,30.4,8.22,6.64,1,HH,0,0,0,0,,09:23:00,23.9165833333333,120.25365
13,R,ON,62,09,31,23,53,998,120,14,590,8.1,213,MC,0,0,1.3,6.2,1,33.9,30.2,8.22,4.72,0,JL,0,0,0,0,,09:31:00,23.8999666666667,120.243166666667
14,R,ON,63,09,45,23,52,998,120,13,3,8.1,234,MC,0,0,1.3,7.5,1,33.9,30.4,8.21,4.73,0,JL,0,0,0,0,,09:45:00,23.8833,120.221666666667
15,S,ON,64,09,47,23,52,784,120,12,813,,,,,,,7.4,1,34.2,30.3,8.21,4.05,0,CW,0,0,0,0,船230 豚135,09:47:00,23.8797333333333,120.21355
16,LS/BT,OFF,72,10,22,23,51,976,120,12,462,,,,,,,4.2,1,34.1,30.7,8.22,3.78,0,CW,0,0,0,0,,10:22:00,23.8662666666667,120.2077
17,R,ON,73,10,34,23,53,0,120,13,17,6.9,42,MC,0,0,1.3,7.5,1,34.1,30.6,8.23,3.45,0,XN,0,0,0,0,,10:34:00,23.8833333333333,120.2195
18,R,ON,74,10,49,23,53,999,120,14,599,7.2,58,Cd,0,0,1.3,6.1,1,33.5,30.7,8.22,4.75,0,XN,0,0,0,0,,10:49:00,23.8999833333333,120.243316666667
