id,EC,Effort,GPS,Time,,Latitude(N),,,Longitude(E),,,Speed,Brg,Weather,Glare,Sightability,Visibility,deep(m),Beaufort,Sal.(‰),T(℃),pH,Turbidity(NTU),Net,Recorder,Cargo(mobile),Cargo(station),Fishing Boat(mobile),Fishing Boat(station),Comments
91,LP,OFF,379,07,6,24,5,130,120,25,193,-,-,-,-,-,-,-,-,-,-,-,-,-,KP,-,-,-,-,-
92,BE/R,ON,380,07,30,24,6,003,120,22,478,6.5 ,035,O,0,0,1.5 ,8.9 ,1,33.7 ,30.7,8.15 ,6.6 ,3,KP,0,0,0,1,水氣
93,R,ON,381,07,41,24,7,109,120,23,059,7.0 ,023,O,0,0,1.5 ,8.7 ,1,33.4,30.6,8.14 ,4.4 ,1,KP,0,0,0,0,飄雨
94,R,ON,382,07,49,24,8,004,120,23,501,7.1,024,O,0,0,1.5 ,3.3 ,1,33.4,30.5,8.13 ,4.6 ,-,KP,0,0,0,0,-
95,R,ON,383,07,59,24,9,008,120,23,915,7.1,019,O,0,0,1.5 ,4.6 ,1,33.8 ,30.5,8.11 ,5.6 ,-,MG,0,0,0,0,-
96,R,ON,384,08,9,24,10,021,120,24,765,7.5 ,038,O,0,0,1.5 ,10.5 ,1,34.1 ,30.6,8.10 ,7.2 ,-,MG,0,0,0,0,-
97,R,ON,385,08,20,24,11,001,120,25,647,7.2 ,041,O,0,0,1.5 ,7.6 ,1,32.8 ,30.3,8.05 ,11.5 ,-,YY,0,0,0,0,-
98,R,ON,386,08,30,24,12,002,120,26,361,7.1 ,035,O,0,0,1.5 ,6.2 ,1,23.8 ,29.8,8.07 ,18.8 ,-,YY,0,0,0,0,下雨
99,R,ON,387,08,42,24,12,997,120,27,231,6.5 ,044,O,0,0,1.5 ,10.1 ,1,20.3 ,30.7,8.03 ,36.7 ,-,XN,0,0,0,0,-
100,S,OFF,388,08,46,24,13,434,120,27,557,-,-,-,-,-,-,-,-,-,-,-,-,-,XN,-,-,-,-,船28豚310
101,C,OFF,389,08,49,24,13,585,120,27,432,-,-,-,-,-,-,-,-,33.9 ,31.5 ,8.14 ,6.8 ,-,MG,-,-,-,-,-
102,LS,OFF,397,09,21,24,13,127,120,26,761,-,-,-,-,-,-,11.0 ,-,18.1 ,29.8 ,8.02 ,26.7 ,-,MG,-,-,-,-,-
